B24010_012M,state,congressional district
1758,01,01
1131,01,02
1646,01,03
1272,01,04
1708,01,05
1247,01,06
1303,01,07
1530,02,00
1085,04,01
1803,04,02
1243,04,03
1129,04,04
1774,04,05
1949,04,06
1030,04,07
1514,04,08
1443,04,09
1048,05,01
2195,05,02
1986,05,03
1536,05,04
1230,06,01
1953,06,02
1156,06,03
1797,06,04
1637,06,05
1366,06,06
1783,06,07
1213,06,08
1470,06,09
1685,06,10
1743,06,11
2061,06,12
1531,06,13
1987,06,14
1971,06,15
1182,06,16
2044,06,17
2173,06,18
1924,06,19
1710,06,20
1043,06,21
1488,06,22
1927,06,23
1853,06,24
1527,06,25
1682,06,26
2037,06,27
2146,06,28
1406,06,29
1927,06,30
1392,06,31
1097,06,32
2602,06,33
1236,06,34
1495,06,35
1150,06,36
1967,06,37
1331,06,38
1797,06,39
942,06,40
1142,06,41
2575,06,42
1546,06,43
1021,06,44
2391,06,45
1474,06,46
1958,06,47
1914,06,48
2141,06,49
1532,06,50
1111,06,51
2596,06,52
2443,06,53
2134,08,01
2293,08,02
1735,08,03
2023,08,04
1636,08,05
1690,08,06
1810,08,07
1879,09,01
1393,09,02
1905,09,03
1752,09,04
1686,09,05
2176,10,00
1858,11,98
1975,12,01
1707,12,02
1573,12,03
1858,12,04
1557,12,05
2178,12,06
1945,12,07
1464,12,08
2394,12,09
2627,12,10
2079,12,11
2244,12,12
2025,12,13
1582,12,14
1408,12,15
1830,12,16
1414,12,17
1898,12,18
2020,12,19
1372,12,20
2121,12,21
2067,12,22
2636,12,23
1690,12,24
2130,12,25
2112,12,26
2164,12,27
1977,13,01
1322,13,02
1684,13,03
1993,13,04
1944,13,05
2472,13,06
2015,13,07
1656,13,08
1682,13,09
1845,13,10
2298,13,11
1276,13,12
1902,13,13
1591,13,14
1475,15,01
1313,15,02
1882,16,01
1639,16,02
1287,17,01
1254,17,02
1309,17,03
1267,17,04
1861,17,05
2191,17,06
1724,17,07
1351,17,08
1920,17,09
1796,17,10
2083,17,11
1427,17,12
1525,17,13
1654,17,14
1157,17,15
1538,17,16
1096,17,17
1356,17,18
1461,18,01
1447,18,02
1308,18,03
1700,18,04
2110,18,05
1359,18,06
1523,18,07
1094,18,08
1808,18,09
1451,19,01
1478,19,02
2092,19,03
1389,19,04
1483,20,01
1415,20,02
1556,20,03
1429,20,04
1208,21,01
1106,21,02
1777,21,03
1331,21,04
1118,21,05
1617,21,06
1683,22,01
1509,22,02
1562,22,03
1272,22,04
1110,22,05
1916,22,06
1473,23,01
1397,23,02
1942,24,01
1583,24,02
2250,24,03
1841,24,04
1813,24,05
1831,24,06
1488,24,07
1994,24,08
1796,25,01
1757,25,02
1874,25,03
1712,25,04
1767,25,05
1626,25,06
1722,25,07
1471,25,08
2157,25,09
1182,26,01
1569,26,02
1396,26,03
1100,26,04
1405,26,05
1647,26,06
1270,26,07
1436,26,08
1781,26,09
1494,26,10
1836,26,11
1544,26,12
1182,26,13
1367,26,14
1347,27,01
1688,27,02
1780,27,03
1856,27,04
1509,27,05
1630,27,06
1250,27,07
966,27,08
1427,28,01
1332,28,02
1910,28,03
1684,28,04
1731,29,01
1757,29,02
1451,29,03
1510,29,04
1462,29,05
1179,29,06
1505,29,07
1121,29,08
1781,30,00
1393,31,01
1378,31,02
1067,31,03
1479,32,01
1565,32,02
1896,32,03
1393,32,04
1770,33,01
1675,33,02
1929,34,01
1729,34,02
1668,34,03
1980,34,04
1879,34,05
1690,34,06
2143,34,07
1653,34,08
2441,34,09
1118,34,10
2095,34,11
1893,34,12
1792,35,01
1330,35,02
1479,35,03
2023,36,01
1644,36,02
2030,36,03
1937,36,04
1516,36,05
1421,36,06
1529,36,07
1441,36,08
1735,36,09
2938,36,10
1527,36,11
3392,36,12
2072,36,13
1897,36,14
1269,36,15
2066,36,16
1789,36,17
1657,36,18
1192,36,19
1851,36,20
1226,36,21
1211,36,22
1173,36,23
1335,36,24
1906,36,25
1547,36,26
1690,36,27
1522,37,01
1679,37,02
2075,37,03
2026,37,04
1839,37,05
1736,37,06
1541,37,07
1653,37,08
2240,37,09
1263,37,10
1451,37,11
1644,37,12
1989,37,13
1655,38,00
1843,39,01
1488,39,02
1903,39,03
1537,39,04
1417,39,05
1190,39,06
1426,39,07
1542,39,08
1329,39,09
1844,39,10
1590,39,11
2136,39,12
1444,39,13
1699,39,14
1823,39,15
1926,39,16
1310,40,01
1009,40,02
1461,40,03
1815,40,04
1548,40,05
1825,41,01
1563,41,02
1778,41,03
1388,41,04
1600,41,05
1421,42,01
1610,42,02
1147,42,03
1244,42,04
1282,42,05
1659,42,06
2028,42,07
1913,42,08
1151,42,09
1349,42,10
1322,42,11
1652,42,12
1569,42,13
1306,42,14
1571,42,15
1725,42,16
1800,42,17
1501,42,18
1437,44,01
1239,44,02
1788,45,01
1756,45,02
1448,45,03
1153,45,04
1195,45,05
1136,45,06
1819,45,07
1327,46,00
1749,47,01
1278,47,02
1388,47,03
1751,47,04
1538,47,05
1465,47,06
1710,47,07
1506,47,08
1431,47,09
1899,48,01
2242,48,02
2469,48,03
1602,48,04
1631,48,05
1808,48,06
2511,48,07
2881,48,08
1999,48,09
2441,48,10
1712,48,11
2152,48,12
1517,48,13
1842,48,14
1409,48,15
1587,48,16
1500,48,17
1423,48,18
1441,48,19
1806,48,20
2356,48,21
2790,48,22
1764,48,23
2403,48,24
2013,48,25
2567,48,26
1603,48,27
1983,48,28
1131,48,29
1533,48,30
2065,48,31
2284,48,32
1348,48,33
1513,48,34
2217,48,35
1711,48,36
1670,49,01
1778,49,02
1845,49,03
2263,49,04
1147,50,00
2112,51,01
1793,51,02
1326,51,03
1855,51,04
1555,51,05
1450,51,06
1814,51,07
2204,51,08
1736,51,09
2451,51,10
2077,51,11
1889,53,01
1603,53,02
1599,53,03
1464,53,04
1386,53,05
1520,53,06
2099,53,07
1872,53,08
2060,53,09
1445,53,10
1193,54,01
1868,54,02
1115,54,03
1595,55,01
1728,55,02
972,55,03
1467,55,04
1206,55,05
1154,55,06
1123,55,07
1321,55,08
1493,56,00
2571,72,98
